BindingDB_12	BEROCCA PN; BIOTIN
BindingDB_14	ISOPAQUE 280; CALCIUM
BindingDB_237	ACETATED RINGER'S IN PLASTIC CONTAINER; SODIUM CHLORIDE
BindingDB_239	ACETATED RINGER'S IN PLASTIC CONTAINER; POTASSIUM CHLORIDE
BindingDB_517	CRIXIVAN; INDINAVIR SULFATE
BindingDB_518	VIRACEPT; NELFINAVIR MESYLATE
BindingDB_519	FORTOVASE; SAQUINAVIR
BindingDB_520	ATAZANAVIR SULFATE AND RITONAVIR; RITONAVIR
BindingDB_558	APTIVUS; TIPRANAVIR
BindingDB_577	AGENERASE; AMPRENAVIR
BindingDB_578	KALETRA; LOPINAVIR
BindingDB_768	LIQUAMAR; PHENPROCOUMON
BindingDB_1434	LAMIVUDINE, NEVIRAPINE, AND STAVUDINE; NEVIRAPINE
BindingDB_1944	RESCRIPTOR; DELAVIRDINE MESYLATE
BindingDB_2483	ATRIPLA; EFAVIRENZ
BindingDB_4934	RELENZA; ZANAMIVIR
BindingDB_5446	TARCEVA; ERLOTINIB HYDROCHLORIDE
BindingDB_5447	IRESSA; GEFITINIB
BindingDB_8610	EXTINA; KETOCONAZOLE
BindingDB_8726	COLGATE TOTAL; TRICLOSAN
BindingDB_8885	ANDRODERM; TESTOSTERONE
BindingDB_8903	CRINONE; PROGESTERONE
BindingDB_8960	ARICEPT; DONEPEZIL HYDROCHLORIDE
BindingDB_8961	COGNEX; TACRINE HYDROCHLORIDE
BindingDB_9460	CYTADREN; AMINOGLUTETHIMIDE
BindingDB_10015	ARIMIDEX; ANASTROZOLE
BindingDB_10620	EXELON; RIVASTIGMINE
BindingDB_10847	ACCURBRON; THEOPHYLLINE
BindingDB_10849	ACETAMINOPHEN, ASPIRIN AND CAFFEINE; CAFFEINE
BindingDB_10850	PENTOXIFYLLINE; PENTOXIFYLLINE
BindingDB_11242	NICLOCIDE; NICLOSAMIDE
BindingDB_11639	CELEBREX; CELECOXIB
BindingDB_13061	FEMARA; LETROZOLE
BindingDB_13063	BEXTRA; VALDECOXIB
BindingDB_13076	ACCURETIC; HYDROCHLOROTHIAZIDE
BindingDB_13216	SPRYCEL; DASATINIB
BindingDB_13530	GLEEVEC; IMATINIB MESYLATE
BindingDB_14062	CATAPRES-TTS-1; CLONIDINE
BindingDB_14390	VIAGRA; SILDENAFIL CITRATE
BindingDB_14487	ADENOCARD; ADENOSINE
BindingDB_14671	AMINOSYN 3.5% M; PHOSPHORIC ACID
BindingDB_14672	IDKIT:HP; CITRIC ACID
BindingDB_14774	DALIRESP; ROFLUMILAST
BindingDB_14777	ADCIRCA; TADALAFIL
BindingDB_15296	PRIMACOR; MILRINONE LACTATE
BindingDB_15579	EMSAM; SELEGILINE
BindingDB_16301	ATOVAQUONE AND PROGUANIL HYDROCHLORIDE; ATOVAQUONE
BindingDB_16418	ULESFIA; BENZYL ALCOHOL
